Found 3188 unique RGB values that are not white, green, or black:
 159. RGB(np.uint8(254), np.uint8(198), np.uint8(145)) - appears    188 times
 160. RGB(np.uint8(255), np.uint8(215), np.uint8(177)) - appears    188 times
 161. RGB(np.uint8(254), np.uint8(191), np.uint8(132)) - appears    183 times
 162. RGB(np.uint8(255), np.uint8(225), np.uint8(191)) - appears    180 times
 163. RGB(np.uint8(218), np.uint8(166), np.uint8(114)) - appears    180 times
 164. RGB(np.uint8(255), np.uint8(214), np.uint8(174)) - appears    177 times
 165. RGB(np.uint8(254), np.uint8(197), np.uint8(143)) - appears    176 times
 166. RGB(np.uint8(253), np.uint8(223), np.uint8(187)) - appears    176 times
 167. RGB(np.uint8(252), np.uint8(193), np.uint8(133)) - appears    174 times
 168. RGB(np.uint8(255), np.uint8(201), np.uint8(146)) - appears    172 times
 169. RGB(np.uint8(255), np.uint8(220), np.uint8(183)) - appears    172 times
 170. RGB(np.uint8(251), np.uint8(195), np.uint8(136)) - appears    171 times
 171. RGB(np.uint8(253), np.uint8(195), np.uint8(133)) - appears    167 times
 172. RGB(np.uint8(254), np.uint8(228), np.uint8(195)) - appears    167 times
 173. RGB(np.uint8(252), np.uint8(196), np.uint8(135)) - appears    164 times
 174. RGB(np.uint8(221), np.uint8(167), np.uint8(113)) - appears    163 times
 175. RGB(np.uint8(254), np.uint8(212), np.uint8(164)) - appears    161 times
 176. RGB(np.uint8(255), np.uint8(221), np.uint8(186)) - appears    160 times
 177. RGB(np.uint8(220), np.uint8(168), np.uint8(116)) - appears    160 times
 178. RGB(np.uint8(255), np.uint8(216), np.uint8(178)) - appears    156 times
 179. RGB(np.uint8(252), np.uint8(201), np.uint8(145)) - appears    151 times
 180. RGB(np.uint8(253), np.uint8(207), np.uint8(157)) - appears    146 times
 181. RGB(np.uint8(255), np.uint8(191), np.uint8(129)) - appears    145 times
 182. RGB(np.uint8(255), np.uint8(218), np.uint8(179)) - appears    141 times
 183. RGB(np.uint8(252), np.uint8(205), np.uint8(151)) - appears    132 times
 184. RGB(np.uint8(255), np.uint8(204), np.uint8(156)) - appears    132 times
 185. RGB(np.uint8(254), np.uint8(225), np.uint8(195)) - appears    121 times
 186. RGB(np.uint8(222), np.uint8(168), np.uint8(116)) - appears    119 times
 187. RGB(np.uint8(253), np.uint8(208), np.uint8(161)) - appears    114 times
 188. RGB(np.uint8(255), np.uint8(213), np.uint8(170)) - appears    114 times
 189. RGB(np.uint8(254), np.uint8(221), np.uint8(180)) - appears    111 times
 190. RGB(np.uint8(255), np.uint8(212), np.uint8(171)) - appears    108 times
 191. RGB(np.uint8(255), np.uint8(219), np.uint8(184)) - appears    108 times
 192. RGB(np.uint8(253), np.uint8(224), np.uint8(192)) - appears    108 times
 193. RGB(np.uint8(252), np.uint8(205), np.uint8(153)) - appears    107 times
 194. RGB(np.uint8(253), np.uint8(191), np.uint8(124)) - appears    106 times
 195. RGB(np.uint8(255), np.uint8(205), np.uint8(157)) - appears    104 times
 196. RGB(np.uint8(252), np.uint8(223), np.uint8(189)) - appears    100 times
 197. RGB(np.uint8(255), np.uint8(195), np.uint8(142)) - appears     97 times
 198. RGB(np.uint8(252), np.uint8(194), np.uint8(132)) - appears     97 times
 199. RGB(np.uint8(252), np.uint8(220), np.uint8(179)) - appears     93 times
 200. RGB(np.uint8(254), np.uint8(222), np.uint8(183)) - appears     90 times
 201. RGB(np.uint8(255), np.uint8(191), np.uint8(127)) - appears     89 times
 202. RGB(np.uint8(255), np.uint8(208), np.uint8(164)) - appears     89 times
 203. RGB(np.uint8(255), np.uint8(193), np.uint8(133)) - appears     86 times
 204. RGB(np.uint8(253), np.uint8(194), np.uint8(138)) - appears     82 times
 205. RGB(np.uint8(253), np.uint8(206), np.uint8(152)) - appears     82 times
 206. RGB(np.uint8(253), np.uint8(203), np.uint8(152)) - appears     82 times
 207. RGB(np.uint8(254), np.uint8(217), np.uint8(180)) - appears     82 times
 208. RGB(np.uint8(255), np.uint8(228), np.uint8(198)) - appears     81 times
 209. RGB(np.uint8(252), np.uint8(187), np.uint8(120)) - appears     80 times
 210. RGB(np.uint8(255), np.uint8(196), np.uint8(136)) - appears     80 times
 211. RGB(np.uint8(217), np.uint8(167), np.uint8(114)) - appears     80 times
 212. RGB(np.uint8(221), np.uint8(165), np.uint8(112)) - appears     79 times
 213. RGB(np.uint8(255), np.uint8(228), np.uint8(199)) - appears     78 times
 214. RGB(np.uint8(251), np.uint8(191), np.uint8(128)) - appears     75 times
 215. RGB(np.uint8(255), np.uint8(210), np.uint8(168)) - appears     74 times
